iter	Passed	Remaining
0	2	202
1	3	185
2	5	169
3	6	156
4	8	153
5	9	148
6	10	145
7	12	147
8	14	149
9	17	156
10	19	154
11	20	152
12	22	150
13	24	150
14	26	148
15	27	144
16	29	142
17	30	140
18	32	137
19	33	134
20	34	131
21	36	128
22	37	125
23	38	122
24	39	119
25	42	120
26	43	117
27	44	114
28	45	111
29	46	109
30	48	107
31	49	104
32	50	102
33	51	100
34	53	98
35	54	96
36	55	95
37	57	93
38	58	91
39	59	89
40	60	87
41	61	84
42	62	82
43	63	80
44	64	79
45	65	77
46	67	75
47	68	74
48	69	72
49	71	71
50	72	69
51	73	67
52	74	66
53	75	64
54	76	62
55	77	61
56	79	59
57	80	58
58	82	57
59	83	55
60	85	54
61	86	53
62	87	51
63	89	50
64	90	48
65	91	47
66	93	45
67	94	44
68	95	42
69	96	41
70	98	40
71	99	38
72	100	37
73	101	35
74	103	34
75	104	32
76	105	31
77	106	30
78	108	28
79	109	27
80	110	25
81	111	24
82	112	23
83	114	21
84	115	20
85	116	18
86	117	17
87	118	16
88	120	14
89	121	13
90	122	12
91	123	10
92	125	9
93	126	8
94	127	6
95	128	5
96	130	4
97	131	2
98	132	1
99	133	0
