iter	Passed	Remaining
0	3	349
1	5	273
2	7	242
3	8	210
4	10	197
5	12	192
6	13	182
7	14	172
8	16	167
9	17	161
10	19	155
11	20	148
12	21	143
13	22	138
14	23	134
15	24	130
16	25	126
17	26	121
18	27	118
19	28	115
20	30	115
21	31	113
22	33	110
23	34	108
24	35	106
25	36	105
26	38	103
27	39	101
28	40	99
29	41	97
30	43	95
31	44	93
32	45	92
33	47	92
34	48	90
35	49	88
36	51	86
37	52	85
38	54	84
39	55	83
40	56	81
41	57	79
42	58	77
43	59	76
44	61	74
45	62	73
46	63	71
47	64	70
48	66	68
49	67	67
50	68	66
51	69	64
52	71	63
53	72	61
54	73	59
55	74	58
56	76	57
57	77	56
58	79	55
59	80	53
60	81	52
61	83	51
62	84	49
63	85	48
64	86	46
65	87	45
66	89	43
67	90	42
68	91	41
69	93	39
70	94	38
71	95	37
72	97	36
73	98	34
74	100	33
75	101	31
76	102	30
77	104	29
78	105	28
79	106	26
80	107	25
81	109	23
82	110	22
83	112	21
84	113	19
85	114	18
86	115	17
87	117	15
88	118	14
89	120	13
90	121	12
91	122	10
92	123	9
93	125	8
94	126	6
95	128	5
96	129	3
97	130	2
98	131	1
99	133	0
